DATEINT,DATE,DAY,EVENT NUMBER,EVENT NAME,TIME,REGULAR HOURS,OVERTIME HOURS
20201013,10/13/2020,TUE,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20201012,10/12/2020,MON,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20201007,10/7/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20201006,10/6/2020,TUE,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20201004,10/4/2020,SUN,13169,SecurityOperations,0900-1600,6.5,0.0
20201002,10/2/2020,FRI,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200930,9/30/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200928,9/28/2020,MON,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200923,9/23/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200921,9/21/2020,MON,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200917,9/17/2020,THU,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200916,9/16/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200914,9/14/2020,MON,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200911,9/11/2020,FRI,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200909,9/9/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200907,9/7/2020,MON,13169,SecurityOperations,0900-1600,6.5,0.0
20200903,9/3/2020,THU,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200902,9/2/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200831,8/31/2020,MON,12678,Foothills,1630-2030,4.0,0.0
20200828,8/28/2020,FRI,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200826,8/26/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200824,8/24/2020,MON,13184,GalvezLotSecurity,1830-0000,5.0,0.0
20200823,8/23/2020,SUN,12678,Foothills,0530-1300,7.0,0.0
20200819,8/19/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200817,8/17/2020,MON,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200812,8/12/2020,WED,12678,Foothills,1630-2030,4.0,0.0
20200810,8/10/2020,MON,13169,Security Operations,1630-2130,5.0,0.0
20200807,8/7/2020,FRI,12678,Foothills,1630-2030,4.0,0.0
20200805,8/5/2020,WED,12678,Foothills,1630-2030,4.0,0.0
20200804,8/4/2020,TUE,12678,Foothills,1630-2030,4.0,0.0
20200803,8/3/2020,MON,12678,Foothills,1630-2030,4.0,0.0
20200729,7/29/2020,WED,12678,Foothills,1630-2030,4.0,0.0
20200728,7/28/2020,TUE,12678,Foothills,1630-2030,4.0,0.0
20200727,7/27/2020,MON,12678,Foothills,1630-2030,4.0,0.0
20200723,7/23/2020,THU,12678,Foothills,1630-2030,4.0,0.0
20200722,7/22/2020,WED,12678,Foothills,1630-2030,4.0,0.0
20200720,7/20/2020,MON,12678,Foothills,1630-2030,4.0,0.0
20200717,7/17/2020,FRI,12678,Foothills,1630-2030,4.0,0.0
20200715,7/15/2020,WED,12678,Foothills,1630-2030,4.0,0.0
20200713,7/13/2020,MON,12678,Foothills,1630-2030,4.0,0.0
20200710,7/10/2020,FRI,12678,Foothills,1630-2030,4.0,0.0
20200709,7/9/2020,THU,12678,Foothills,1630-2030,4.0,0.0
20200708,7/8/2020,WED,12678,Foothills,1630-2030,4.0,0.0
20200707,7/7/2020,TUE,12678,Foothills,1630-2030,4.0,0.0
20200704,7/4/2020,SAT,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200703,7/3/2020,FRI,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200625,6/25/2020,THU,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200623,6/23/2020,TUE,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200617,6/17/2020,WED,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200615,6/15/2020,MON,13184,GalvezLotSecurity,1730-0000,6.0,0.0
20200613,6/13/2020,SAT,13169,SecurityOperations,1430-2230,7.5,0.0
20200610,6/10/2020,WED,13169,SecurityOperation,1430-2230,7.5,0.0
20200608,6/8/2020,MON,13169,SecurityOperations,1430-2230,7.5,0.0
20200605,6/5/2020,FRI,13169,SecurityOperations,1430-2230,7.5,0.0
20200603,6/3/2020,WED,13184,GalvezLotSecurity,1630-0000,7.0,0.0
20200601,6/1/2020,MON,13169,SecurityOperations Beat 1,1430-2230,7.5,0.0
20200529,5/29/2020,FRI,13169,SecurityOperations,1430-2230,7.5,0.0
20200527,5/27/2020,WED,13169,SecurityOperations,1430-2230,7.5,0.0
20200525,5/25/2020,MON,13169,SecurityOperations,1430-2230,7.5,0.0
20200521,5/21/2020,THU,13184,GalvezLotSecurity,1630-0000,7.0,0.0
20200520,5/20/2020,WED,13169,SecurityOperations,1430-2230,7.5,0.0
20200518,5/18/2020,MON,13169,SecurityOperations,1430-2230,7.5,0.0
20200515,5/15/2020,FRI,13184,GalvezLotSecurity,1630-0000,7.0,0.0
20200513,5/13/2020,WED,13184,GalvezLotSecurity,1630-0000,7.0,0.0
20200511,5/11/2020,MON,13184,GalvezLotSecurity,1630-0000,7.0,0.0
20200508,5/8/2020,FRI,13169,SecurityOperations,1430-2230,7.5,0.0
20200507,5/7/2020,THU,13169,SecurityOperations,1430-2230,7.5,0.0
20200506,5/6/2020,WED,13184,GalvezLotSecurity,1630-0000,7.0,0.0
